Article,Date,Heading,NewsType
"LAHORE: Traders and business community is observing countrywide complete shutter down strike, halting business activities today (Wednesday) against the imposition of withholding tax on all types of banking transactions.This would be the second countrywide strike on the same issue. Earlier, the business community succeeded in observing the strike across country, pressurising the Federal Board of Revenue to halve the rate of withholding tax on banking transactions, and extending the date of implementation of the said tax.However, a faction of traders refused the FBR incentive, sticking to their single point agenda of withdrawal of the withholding tax from banking transactions, which has compelled the other groups to join hands with them and show their muscle power to the government.On Tuesday, different factions of the traders in two different press conferences announced the complete shutter down strike for today. They said that after this strike, they will announce their future plans of protests and strikes which would be for an indefinite period.They said that businessmen had never refused to pay taxes, but the government instead of taxing those who were already in the net, should bring new people in to the tax net.They said that this tax had not only made life of the traders miserable, but also destroyed the whole banking sector, as it was now facing a collective loss of Rs878 billion.After the traders and business community, the Lahore Chamber of Commerce and Industry (LCCI) also announced to observe the September 9 strike.                        










",09-09-2015,withholding tax traders businessmen observing strike today,business
"Singapore: Oil prices edged higher in quiet Asian trade Wednesday as dealers set aside weak Chinese trade data and looked ahead to the release of a US stockpiles report, analysts said.US benchmark West Texas Intermediate for October delivery gained 22 cents to $46.16 while Brent crude for October rose 24 cents to $49.76 in late-morning trade.""We are seeing trading volumes for oil futures down a third than on average. The market seems to have shrugged off the weak Chinese trade data and is now looking beyond that for cues,"" Michael McCarthy, chief market strategist at IG Markets in Sydney, told AFP.""We might see some movement next depending on how the US stockpile numbers turn out,"" he said.China said Tuesday its exports fell 5.5 percent year-on-year in August while imports plunged 13.8 percent, led by falling commodity prices, adding to worries about the strength of the world´s number two economy and top energy consumer.The slowdown Chinese growth, as well as a slew of other weak indicators, have sent panic through world markets, as the country is a key driver of global expansion.In the United States, the Department of Energy will release its weekly petroleum report on Thursday, a day later than usual owing to the Labor Day holiday on Monday.US crude reserves likely rose by 250,000 barrels in the week to September 4, according to a Bloomberg News survey of analysts. An increase in stockpiles usually points towards weaker demand.Dealers had been hoping that an uptick in US demand, coupled with a slowdown in output, could whittle down the huge global supplies that were a key reason for the collapse in prices from around $120 in June last year.                        










",09-09-2015,oil prices up in asian trad,business
"ISLAMABAD: Prime Minister Nawaz Sharif has ordered audit of the Nandipur Power project amid allegations of corruption.Acting upon the prime minister’s orders, the Ministry of Water and Power has written a letter to the Auditor General, asking him to conduct the audit with three terms of reference. The terms of reference will address the requirements of the commercial audit of the project which has become nightmare for the government.The Ministry of Water and Power has directed the Auditor General of Pakistan to conduct the audit keeping in view three points: (1) Reason behind the increasing cost of the project (2) Amount that has been spent so far (3) Whether the Board, Administration of the project and the contractor fulfilled their responsibilities.                        










",09-10-2015,pm nawaz orders audit of nandipur power proj,business
"Hong Kong: A mixed reading on Chinese inflation Thursday kept Asian equities traders on edge in fresh volatility Thursday as markets retreated from a two-day rally, while fears of a US interest rate hike saw safe assets advance.Early selling spread through regional exchanges, with Hong Kong and Shanghai seeing hefty losses, despite Chinese Premier Li Keqiang the day before seeking to shore up confidence in the government´s handling of an economic crisis that has sent global markets plunging.A late tumble on Wall Street provided extra reason to run after a report showing a tighter US jobs market increased speculation the Federal Reserve will pull the trigger on a rate rise at next week´s policy meeting.Thursday´s losses follow thumping gains across the world over the previous two days -- including a 7.7 percent jump in Tokyo Wednesday -- which were helped by Chinese moves to bolster its economy.However, Nader Naeimi, head of dynamic asset allocation at AMP Capital Investors Ltd. in Sydney, told Bloomberg News: ""Markets will remain volatile until the Fed meeting next week.""Investors are again focusing on the potential US interest rate increase and how it would impact emerging markets.""In Beijing, official figures showed the consumer price index (CPI) rose two percent last month, better than July´s 1.6 percent and beating forecasts of 1.8 percent.However, the producer price index (PPI) -- a crucial measure of costs for goods at the factory gate and a leading indicator of the trend for consumer prices -- slumped at its fastest rate in six years.The figures will do little to ease the struggle authorities have in kickstarting the world´s number two economy and main driver of global growth as it suffers a painful slowdown.""This is a real problem,"" said Zhu Qibing, a Beijing-based analyst at China Minzu Securities Co. ""For a manufacturer, CPI represents its costs because wages rise, and PPI represents the prices of its product. Now profits of enterprises are being further eroded."" (AFP)                        










",09-10-2015,asian markets retreat as china fed feed cauti,business
"ISLAMABAD: Prime Minister Nawaz Sharif has underscored the need for enhancing exports, saying that Pakistan could not progress without improving its exports.Addressing the meeting of industries and traders’ representatives here Friday, the Premier said, “How can we pay off our debts without increasing our revenue?”PM Nawaz assured the business community for redressing its issues, saying that PML-N government wanted to resolve issues of the said community, however, these could not be resolved in a single day and resources are required for it. The Prime Minister regretted that Pakistan lacks behind others countries of the region in exports, adding that “The country has not witnessed any growth in its exports over the past few years.”He went on to say that they have to make this sitting a fruitful.                        










",09-11-2015,pm nawaz underscores need for enhancing expor,business
"Hong Kong: Asian markets were relatively calm Friday at the end of a volatile week, with Shanghai and Hong Kong ticking higher after China unveiled a series of steps to shore up its economy, but fears of a US interest rate hike kept dealers on edge.Higher-yielding, or riskier, currencies such as the Malaysian ringgit and South Korean won benefited from a more upbeat outlook, which followed a positive lead from Wall Street, while the Australian dollar edged higher.The safe-haven yen, considered a go-to asset in times of turmoil, retreated.Analysts said world markets seemed to be settling after a roller-coaster ride since China last month devalued its yuan currency, sparking concerns about the world´s number two economy -- the main driver of global growth -- and its leaders´ ability to control the crisis.The broadly upbeat sentiment comes after Beijing sought to reassure investors it was able to maintain high growth, and announced a plan to speed up major construction projects and cut taxes for small and medium-sized enterprises.A set of capital controls to prevent a flight of cash were implemented this week, while analysts said a rise in the offshore yuan Thursday suggested the central bank had intervened to prop it up.Authorities also unveiled a series of measures to prevent huge swings in China´s stock markets, which have seen trillions of dollars wiped off valuations in Shanghai since it hit a peak in mid-June. Among the measures are a ""circuit breaker"" that stops shares being traded after rising or falling by a certain amount.In early trade, Shanghai was up 0.29 percent, Hong Kong added 1.31 percent and Sydney was 0.37 percent higher. Tokyo pared most early losses to end the morning flat.Juichi Wako, a senior strategist at Nomura Holdings, told Bloomberg News: ""We seem to be forming a bottom, but uncertainty has yet to be completely dispelled, including what happens with US monetary policy.""Global investors are nervously waiting for next week´s Federal Reserve policy meeting, with uncertainty over whether it will lift interest rates for the first time in nine years or hold fire owing to the recent market turmoil.A hike in borrowing costs would likely hinder investment possibilities and also fan a flight of capital back to the United States in search of better returns, to the detriment of emerging markets.Hopes that bank policymakers will opt not to raise rates supported US stocks, with Wall Street´s three main indexes all ending strongly higher.A less volatile atmosphere saw low-risk assets retreat. The dollar bought 120.82 yen compared with 120.63 yen in New York, while the euro was at $1.1279 compared with $1.1275.And the Australian dollar, which earlier in the week hit a six-year low below 69 US cents, was at 70.72 cents.The ringgit was up 0.13 percent and the won gained 0.82 percent. New Zealand´s dollar, which tanked Thursday after the central bank cut interest rates, edged up 0.3 percent.                        










",09-11-2015,asia markets calm after tough week but us rates in focu,business
"KARACHI: The State Bank of Pakistan on Saturday announced the new monetary policy for the next two months reducing the interest rate further by 50 basis points. The central bank reduced interest rate by 0.5 percent and brought it down to six percent.The State Bank of Pakistan noted year-on-year headline CPI inflation to have decelerated to 1.7 percent in August 2015 from 7.0 percent in August 2014. Following its declining trend of the past several months, the 12-month moving average CPI inflation came down to 3.6 percent in August 2015 from 8.4 percent in August 2014. A press release from the State Bank noted, “With better law and order situation, investor and consumer confidence is improving. After recording a growth of 3.3 percent, Large-scale Manufacturing is expected to gain further traction at the back of improvement in energy supplies. Implementation of infrastructure development and energy projects under China Pakistan Economic Corridor would further enhance the improving investment environment. Therefore, there is anticipation of higher economic activity in FY16 which is expected to boost credit uptake.” 










",09-12-2015,state bank announces monetary policy,business
"ISLAMABAD: The National Accountability Bureau (NAB) on Friday submitted another reference in the rental power projects (RPP) scam against former prime minister Raja Pervez Ashraf.An accountability court has summoned Ashraf and 11 other suspects on September 18 after the NAB submitted the reference in connection with Samundri Rental Power Project.The bureau has accused all 12 of misuse of power, violation of laws and awarding illegal contracts.Former water and power secretary Shahid Rafi, former secretary Ismail Qureshi, Pepco’s former MDs Tahir Basharat and Munawar Basir were also among the suspects.Naudero, Sahiwal, Peeran Ghaib and Karkey rental power cases against the PPP leader are also sub judice.                        










",09-12-2015,nab files another rental power reference against raja pervez ashraf,business
"ISLAMABAD: Minister for Petroleum and Natural Resources, Shahid Khaqan Abbasi, said on Monday that the issues that Sindh Finance Minister, Murad Ali Shah, spoke about a day earlier do not befit him.Addressing a press conference in Islamabad today, the petroleum minister said that the gas from Sindh is not going to be directed anywhere, adding that any ambiguities will be cleared.Shahid further said that these issues that Murad Ali Shah spoke of have already been discussed with the Council of Common Interest (CCI) as well as during other occasions.“Pakistan People's Party (PPP) Co-Chairman Asif Ali Zardari also raised these issues in a meeting with Prime Minister Nawaz Sharif.”The minister went on to say that corruption allegations on import of Liquefied Natural Gas (LNG) is shameful.He added that the LNG policy was made by the PPP government.On Sunday, Sindh Minister for Finance, Murad Ali Shah said the incumbent government and rulers only seem interested in launching high-cost projects, claiming the federal government’s policies are proving detrimental for Sindh.Murad Ali Shah further said there is rampant corruption today but the same is invisible to the eyes of investigation authorities. 










",9/14/2015,shahid khaqan says gas from sindh not being directed anywher,business
"Singapore: Oil prices were mixed in Asia Monday ahead of a US interest rate decision, with weak demand in an oversupplied market keeping a lid on any gains.US benchmark West Texas Intermediate for October delivery was up five cents at $44.68 and Brent crude for October fell 16 cents to $47.98 in late-morning trade.The cost of the black gold tumbled last week after Goldman Sachs slashed its price forecasts for next year in the face of a larger-than-expected glut.Sanjeev Gupta, head of the Asia Pacific oil and gas practice at professional services firm EY said prices will remain volatile on concerns ""over demand growth not being sufficient to absorb excess supply"".Weak demand from China, the world´s top energy consumer, is also weighing on the market, he said, following another round of weak data on the world´s number two economy at the weekend.Gupta said dealers are focusing on the Federal Reserve´s rate meeting that ends Thursday.While expectations are for a rise by the end of the year, the bank´s decision has been made complicated by the recent turmoil across the globe caused by the Chinese economic crisis.Higher US interest rates will boost the US currency, making dollar-priced oil more expensive for holders of other units, hurting demand and prices.""For now, the market appears willing to give in to the Fed´s well telegraphed intention to hike in 2015 but remains doubtful of more hikes thereafter,"" DBS Bank said in a market commentary.""The (dollar) could reassert itself if Fed Chair Janet Yellen turns out to be more optimistic than expected and reinforces her colleagues´ recent message that the Fed will be gradual and cautious in normalising monetary policy.""Oil prices have plunged from peaks of more than $100 a barrel in June 2014 as global supply outpaced demand.                        










",9/14/2015,oil prices mixed in asian trad,business
"KARACHI: On the occasion of Eidul Azha, PIA is offering 25 per cent ticket discount on all domestic sectors for travel during September 25, 26 and 27. A statement issued here on Tuesday said that the discount offer was formally announced by PIA’s Director Marketing & Customer Services Khurram Mushtaq at the airline’s head office today.The passengers can now avail 25 per cent discount on all domestic flights during the first three days of Eid. The discount offer applies to all three classes; Business, Economy and Economy Plus.                        










",9/15/2015,pia offers 25pc discount on domestic tickets for eidul az,business
"London: World crude prices diverged Tuesday as traders eyed weak demand and excess supplies, dealers said.Brent North Sea crude for October dropped eight cents to stand at $46.29 a barrel around late afternoon in London.US benchmark West Texas Intermediate for delivery in October added 86 cents to $44.85 per barrel compared with Monday´s close.Expectations that US crude oil inventories expanded for a third week and news that the OPEC cartel has slashed its demand growth forecast for next year are keeping a lid on any price rally, analysts said.Bloomberg News said it expects US crude stockpiles to have risen by 1.75 million barrels in the week to September 4.The US Energy Information Administration (EIA) will release Wednesday the official stockpiles data, a gauge of demand in the world´s top oil consuming nation.""Prices are unable to make much headway as the market expects US crude stockpiles to expand for the third straight week ahead of the EIA report,"" said Bernard Aw, a Singapore-based strategist at IG Markets.The Organization of the Petroleum Exporting Countries on Monday cut its 2016 forecast for global demand ""due to the projected slower economic momentum in Latin America and China"".The cartel said demand would grow by 1.29 million barrels per day to 94.08 million barrels a day next year, 50,000 barrels less than its previous estimate.Traders are also watching out for the US Federal Reserve meeting this week to see whether policymakers would raise interest rates for the first time since 2006.Analysts say that a hike in the zero-level benchmark rate would likely push the dollar higher, making dollar-priced crude oil more expensive and potentially further damping demand.                        










",9/15/2015,oil prices diverg,business
"KARACHI: The government believes that coal-based power generation is the best source of energy in the wake of depleting gas reserves.The National Electric Power Regulatory Authority (NEPRA) said efforts must be made to change the energy mix towards cheaper fuels.“With the depleting natural gas reserves in the country and relatively longer lead time for the construction of hydroelectric power projects, coal power plants are considered the best option in the short- and medium-term planning,” reads a Nepra’s decision pertaining to the generation licence application of Siddiqsons Energy.NEPRA awarded a generation licence to Siddiqsons Energy Limited for 350-megawatt coal-based thermal facility at Port Qasim with a cost of approximately $600 million.The project is expected to be commissioned by December 31, 2018, while the company is required to provide a certificate on bi-annual basis, confirming that the operation of its generation facility is in line with the environment standards as prescribed by the relevant competent authority.NEPRA said electricity is a fundamental element for the economic growth of any country. The electricity consumption per capita has a strong correlation to the social development and economic indices.“Increasing electricity consumption per capita can directly stimulate faster economic growth and indirectly achieve enhanced social development,” the authority said.“In short, the economic growth of any country is directly linked with the availability of safe, secure, reliable and cheaper supply of electricity.”The authority said for sustainable development, all types of electric power generation resources, including coal (imported/indigenous), hydel, wind, solar and others must be tapped and developed on priority basis both in public and private sectors.The existing energy mix of the country is heavily skewed towards the costlier thermal generation facilities operating on furnace oil.“The import of expensive furnace oil results in depletion of the precious foreign exchange reserves of the country, affecting the macro and microeconomic stability,” read the ruling.“An increase in the consumer end tariff results in higher inflation but it also affects the competitiveness of the local industry with its foreign peers.”It further said it is vital that indigenous and imported coal projects are given priority for power generation and their development is encouraged to reduce the demand-supply gap and to achieve sustainable development. 










",9/16/2015,government stresses coal based power generati,business
"London: Oil prices fell Thursday as jittery investors awaited a key interest rate decision from the US Federal Reserve.US benchmark West Texas Intermediate (WTI) for delivery in October dropped 58 cents to $46.57 a barrel from Wednesday´s close.Brent North Sea crude for November shed 60 cents to stand at $49.15 a barrel in London midday deals.Prices were lower as traders took profits after crude futures had soared Wednesday.WTI surged almost six percent and Brent jumped more than four percent after the US Department of Energy revealed a weekly drop of 2.1 million barrels in crude inventories.That included a 1.9 million-barrel decline at the Cushing, Oklahoma trading hub, indicating stronger demand in the world´s top oil consumer. The report also said US oil production fell for the sixth straight week.""For the oil market, the fact that US oil production was down once again may perhaps be even more relevant than the decline in stocks,"" said Commerzbank analyst Carsten Fritsch.""This would appear to prove OPEC´s strategy correct, namely that low oil prices would prompt shale oil producers to abandon production. In fact, this trend may well even accelerate in the near future.""World oil prices have roughly halved in value since a year ago, plagued by a global supply glut caused largely by cheaper production of US oil following extraction from shale rock.Attention is now focused on Washington where the Fed will make an announcement on borrowing costs, with analyst opinion split on whether it will begin lift-off of raising rates on Thursday or wait until December.Fed chief Janet Yellen has said she expects an increase in US interest rates by the end of the year but recent turmoil in global markets caused by concerns about China´s economy have complicated policymakers´ decision-making.A rise in US interest rates tends to bolster the dollar, making dollar-priced oil more expensive for holders of weaker currencies, hurting demand.                        










",9/17/2015,oil falls ahead of fed decisi,business
"ISLAMABAD: Seven private coal-based and hydropower projects, having a total electricity generation capacity of 5,155 megawatts, will reach their financial close by yearend, a minister said on Thursday.Minister for Water and Power Khawaja Muhammad Asif, chairing 102nd meeting of the Private Power and Infrastructure Board (PPIB), said the implementation of these projects will start after the financial close.These projects have local and foreign investments. Investors from China, Korea, Qatar and Saudi Arabia have large equity contributions in these projects.“The government is making every effort to increase electricity supply to the national grid through all possible avenues, private sector being one of them,” Asif said.The said projects include 102MW Gulpur hydropower at Poonch River, Azad Jammu and Kashmir, 720MW Karot hydropower at Jhelum River, district Rawalpindi, 870 MW Suki Kinari hydropower at Kunhar River, Mansehra, Khyber Pakhtunkhwa, 1,320MW Port Qasim coal-based power, 660MW Engro Powergen coal-based power at Thar Block-II, Sindh, 1,320MW Shandong imported coal-based power at Qadirabad, Sahiwal, and 163MW Grange Holdings coal-based power at Arifwala, Punjab. The minister said the presence of international investment groups/companies in the development of private sector power projects shows the confidence of the international community in the government’s policies. Various ongoing private power projects were also discussed during the meeting. The board was briefed on coal and hydel based private power generation projects being handled by PPIB, particularly the projects being processed under the China-Pakistan Economic Corridor. The minister and board members expressed their satisfaction on the progress and advised PPIB to ensure the timely completion of the projects. 










",9/18/2015,seven power projects to reach financial close by year end minister,business
"Singapore: Oil prices rebounded in Asia Monday but analysts said they remain weighed by a crude oversupply and fresh worries about the world economy after the Federal Reserve decided last week against raising interest rates.US benchmark West Texas Intermediate for October, which expires on Tuesday, rose 15 cents to $44.83 and Brent crude for November was up 10 cents at $47.57 a barrel in late-morning trade.Oil stockpiles held by Saudi Arabia, the world´s biggest crude exporter, climbed to a record, Bloomberg News reported.It said the country´s commercial petroleum stockpiles advanced to 320 million barrels, the highest since at least 2002, citing data on Sunday on the website of the Riyadh-based Joint Organisations Data Initiative.Fresh worries have also emerged about the health of the global economy and its impact on oil demand after the Fed, the US central bank, held off raising benchmark interest rates last week.Fed chief Janet Yellen said that bank policymakers cited the ongoing slowdown in China and recent turmoil on world markets as playing a role in the decision.""Indeed, the Fed´s hesitancy only appears to have reinforced investors´ worries about the global economy, rather than reassure them,"" Capital Economics said in a commentary. 










",9/21/2015,oil up in asia but oversupply weak demand weig,business
"Singapore: Oil prices fell in Asia Tuesday, reversing sharp gains in the previous session, hit by a strong dollar and persistent concerns over a global supply glut.US benchmark West Texas Intermediate for October delivery, which expires at the end of the trading day, eased 39 cents to $46.29 in late-morning trade after spiking 4.1 percent at its close in New York on Monday.Brent crude for November dipped 37 cents to $48.55 a barrel following a 3.1 percent surge in London.""A resurgent US dollar weighed on crude prices. However, an improved risk tone could cushion oil prices on the downside,"" said Bernard Aw, market strategist at IG Markets in Singapore.The dollar climbed after three Federal Reserve presidents put the argument for borrowing costs the rise by year´s end, in a bid to soothe concerns about the global economy that were stoked by the bank´s decision to hold fire Thursday.A strong greenback makes dollar-priced oil more expensive for holders of weaker currencies, hurting demand and prices.Analysts have said Monday´s strong price rebound looked more like a technical correction from heavy losses last week as the fundamentals of a crude oversupply outrunning demand remained intact.Traders are also closely monitoring progress on Iran´s compliance under a deal with western powers to curb its nuclear ambitions in return for the lifting of sanctions that will allow it to export more oil.On Monday, Iran said it independently collected samples at a suspect military site where illicit nuclear work is alleged to have occurred and later handed them to UN inspectors who were not physically present.In an apparent bid to stave off criticism, the chief of the UN´s International Atomic Energy Agency said ""the integrity of the sampling process and the authenticity of the samples"" was not compromised despite the absence of UN inspectors. (AFP) 










",9/22/2015,oil price rally reverses as dollar ticks higher,business
"ISLAMABAD: The price of Liquefied Petroleum Gas (LPG) has been slashed by Rs10 per kilogram, announced Chairman LPG Distributors Association Irfan Khokhar on Wednesday.The announcement was made following the meeting of a delegation of LPG Distributors Association with the Federal Minister for Petroleum, Shahid Khaqan Abbasi here.The Chairman LPG Distributors Association said it was decided at the meeting that the price of LPG remains fixed at Rs75 per kg throughout the year.He said after the reduction of Rs10 per kg, the price of a commercial LPG cylinder stands slashed by Rs400.Irfan Khokhar further said that the rate of domestic LPG cylinder has been cut down by Rs100.  










",9/23/2015,lpg price slashed by rs10 per kg irfan khokhar,business
"Hong Kong: A plunge in a gauge of Chinese factory activity stoked fresh fears about the world´s number two economy and the global outlook Wednesday, sending Asian markets tumbling after a heavy sell-off in New York and Europe.Emerging market currencies -- already under pressure from an expected US interest rate hike and weak growth -- also took a battering as investors rushed into lower-yielding, or safer, assets such as the yen while oil prices eased.The losses extended a general downward spiral across the world as dealers fret over the state of the global economy, with a US recovery offset by China posting growth at 25-year lows, and Japan and the eurozone also struggling.On Wednesday China´s closely watched Purchasing Managers´ Index (PMI) of manufacturing activity for September came in at a six-and-a-half-year low and showed the sector contracted further.The preliminary reading released by financial publisher Caixin came in at 47.0, down from August and missing expectations of 47.5. A result below 50 indicates shrinkage and anything above points to growth.""The decline indicates the nation´s manufacturing industry has reached a crucial stage in the structural transformation process,"" He Fan, chief economist at Caixin Insight Group said in a statement accompanying the figures.He blamed the weakness mainly on sluggish external demand for Chinese goods and lower export prices.The figures come a day after the Asian Development Bank (ABD) said it had lowered its growth expectations for Asia because of the sharp growth slowdown in China, a key driver of global trade.""It´s a confirmation of fears that were existing in the market already that China is in fact doing worse than we had been led to believe and there´s a lot of uncertainty about where that economy really is,"" Emma Lawson, senior currency strategist at National Australia Bank in Sydney, told Bloomberg News.Among Asian stock markets Shanghai sank 0.88 percent, Hong Kong was 1.90 percent lower and Sydney -- where a number of firms with strong China links are listed -- shed 1.70 percent.Seoul, Taipei and Singapore were also each down more than one percent. 










",9/23/2015,asian stocks currencies sink after china factory d,business
"Hong Kong: Asian markets mostly recovered Thursday from the previous day´s sharp losses but Tokyo tumbled as investors returned from a long weekend to play catch-up, with auto giants hit by the Volkswagen scandal.The dollar edged up against most emerging market currencies ahead of a closely watched speech later in the day by Federal Reserve chief Janet Yellen, during which markets hope she will provide more clarity on the bank´s plans for an interest rate hike.Stocks and other high-yielding, or riskier, assets took a hit after the Fed´s decision last week to hold -- citing China´s woes and a developing market slowdown -- fanned concerns about the US and global economy.Those worries were exacerbated Wednesday when a closely watched gauge of Chinese manufacturing activity for September hit a six-and-a-half-year low, the latest ion in a string of results highlighting a severe slowdown in the world´s number two economy.The news sent shares in Asia plunging -- with Shanghai and Hong Kong down more than two percent -- followed by losses in New York.On Thursday, however, investors in most stock markets turned buyers, with Shanghai up 0.75 percent, Sydney adding one percent and Seoul 0.42 percent higher. However, Hong Kong continued to drop, shedding 0.44 percent.Tokyo tumbled 2.34 percent by lunch as trading began for the first time since Friday owing to a three-day public holiday.""Japanese markets have still got some catch up to do after the uncertainty that´s been washing through global markets,"" Tony Farnham, a strategist at Patersons Securities in Sydney, said.""The issue is gauging the extent of the slowdown in China and the ongoing debate about whether the Fed is doing the right thing"" on when to raise interest rates.                        










",9/24/2015,most asia markets bounce from losses tokyo sinks on retur,business
"Singapore: Oil prices fell in Asia Monday as investors looked for further clues about the health of the Chinese and US economies, the world´s top crude consumers.US benchmark West Texas Intermediate for November delivery eased 48 cents to $45.22 and Brent crude for November dipped 47 cents to $48.13.Markets were rocked last week by news that a key gauge of manufacturing activity in China fell to a six-and-a-half-year low in September, the latest sign of slowdown in growth for the world´s second-biggest economy.""For most commodities, a ´hard landing´ in China would be a far greater threat than a gradual tightening from the Fed,"" research firm Capital Economics said.It said that the manufacturing data is likely to improve over the remainder of the year.The US Federal Reserve held off raising interest rates during its September meeting, but on Thursday Fed chief Janet Yellen said she still expects a lift-off this year and that concerns about weaker global growth likely will not affect that plan.Focus this week ""is likely to remain on China and particularly the equity market, which has recently shown signs of stabilising, and on the US ahead of the employment report on Friday"", Capital Economics said in a market commentary.A rise in interest rates would likely boost the US currency, making dollar-priced oil more expensive for holders of weaker units, hurting demand.Prices are also under pressure owing to the prospect of Iranian oil returning to the oversupplied market following a landmark nuclear deal with major world powers reached in July.Under the agreement, the west will lift crippling economic sanctions if Iran curbs its nuclear ambitions, allowing the country to increase its oil exports. Tehran has denied western claims it is aiming to build an atomic bomb.Prices are expected to be volatile during the week, analysts said.""With no major economic data announcements during the week except for the US unemployment rate due next Friday, crude oil prices will continue to seesaw,"" said Sanjeev Gupta, who heads the Asia Pacific oil and gas practice at professional services firm EY. (AFP) 










",9/28/2015,oil prices ease in asi,business
"KARACHI: Karachiites spent around Rs30 billion in sacrificing animals on this year’s Eidul Azha, which speaks volumes about the success of the ongoing crackdown against criminal elements in the provincial capital. Last year the prices of sacrificial animals had dropped considerably but on the contrary the rates of the cattle went through the roof this time around. So much so that people who went to the market to buy the sacrificial animal on the third day of Eid in a hope to get some discount had to return empty handed.According to the sales figures from Super Highway’s cattle market till the third day of Eid, 340,000 cows/bulls were sold. The sale of goats touched 140,000 while 3500 camels were sold till the third day. 










",9/28/2015,karachiites spent rs30 billion on eid sacrifi,business
"ISLAMABAD: The Oil and Gas Regulatory Authority confirmed on Tuesday that will send a summary to the Petroleum Ministry seeking a decrease in the price of petroleum products for October 2015.According to sources, OGRA has recommended a 10-paisa decrease in the price of petrol, and a Rs. 2.00/liter decrease in the price of diesel, HOBC and Kerosene.  










",9/29/2015,ogra recommends reducing pol pri,business
"ISLAMABAD: Nepra allowed increase in the losses of distribution companies (Discos) by up to 15.3 percent from 13.03 percent in 2004 in the power tariff, inflicting a loss of Rs2.1 billion per annum, reveals the government’s official plan of managing the circular debt agreed to with the IMF, a copy of which is available with The News.Under the circular debt management plan, the government intends to reduce the circular debt from Rs314 billion (as of end of June 2015) to Rs212 billion by financial year ending June 30, 2018 while keeping within the target of 0.4 percent of GDP for subsidies to the power sector (about Rs128 billion) and 4 percent fiscal deficit. “At the end of each month, the circular debt will be maintained below the cap of Rs314 billion. “The circular debt management plan (or capping mechanism) will include reducing the increase of circular debt (flow) as well as the stock (outstanding amount). Policy induced public sector power entity debt including Power Holding Company Limited (PHCL) debt will be reduced from Rs335 billion to Rs220 billion by 2018. Collection from government customers will be rationalized, and subsidies will be on actual basis and paid according to schedule.” Independent energy experts say the power sector requires just over Rs1 trillion to run itself and if one percent loss appears in the system, it accounts for Rs10 billion. This means the consumers are currently paying over Rs150 billion in the tariff just under the head of losses. However, Nepra, which is supposed to pressurize Discos to bring down losses, has accommodated the inefficient power sector by increasing the losses to 15.3 percent from 13.03 percent. Nepra spokesperson admitted that the regulator had increased the losses of Discos by up to 15.3 percent in the tariff from 13.03 percent insisting that it will add the additional burden of Rs2.1 billion, saying one percent loss means damage of just Rs1 billion that will be recovered from the consumers in the tariff. Nepra had earlier fixed the allowed losses for Discos for 2013-14 at 13.02 percent compared to 18.7 percent. The 5.6 percent difference between determined loss and actual loss accumulated as circular debt of Rs33.6 billion in financial year 2014. Now the regulator for financial year 2015 allowed 15.3 percent compared with expected losses of 18.70 percent, narrowing the gap between allowed and actual losses, but it will still result in accumulation of circular debt of Rs32 billion due to increase in generation. In the short term, there is little that can be done about the flow because the tariffs have been determined. Nepra as a condition of its determinations requires Discos to conduct a study on technical losses to justify the need for increase and to set out future loss reduction initiatives, to be conducted by independent consultants but the results are unlikely to show an effect until financial year 2016 determinations. For the purposes of this circular debt management plan, it is assumed that reductions in losses will reduce the flow of circular debt from Rs32 billion to Rs11 billion. The privatization programme, according to the document, is also likely to reduce excess line losses to the extent of the companies that will be privatized. With expected privatization of three Discos in FY 2016, multi-year tariff (MYT) will have been determined instead of annual tariff determinations and this will give incentives to the new owners to improve losses against the Nepra benchmarks; in any event, the costs of any underperformance will be the responsibility of the new owner. For the Discos not privatized, the surcharge mechanism will still be used to rationalize subsidies dealing with Sector Inefficiencies and recover costs of service.                        










",9/29/2015,nepra makes consumers pay billions mor,business
"ISLAMABAD: Finance Minister Ishaq Dar said on Wednesday that the prices of all petroleum products would remain unchanged for the next month (October).Addressing a news conference in Islamabad this evening, he said that the Oil and Gas Regulatory Authority (OGRA) had recommended a nominal decrease of 15 paisa in the price of petrol and an increase or decrease of Rs 2.51 to Rs 2.99 in prices of other products.Dar said after consultations with Prime Minister Nawaz Sharif over telephone in New York, it has been decided to keep the prices of POL products unchanged.The minister went on to say that the last date for filing of Income Tax Returns has been extended till October 31.He added that the concessional rate of withholding tax on banking transactions for non-filers would also remain applicable for another month at the demand of traders.  










",9/30/2015,finance minister announces pol prices to remain unchanged for ,business
"ISLAMABAD: The deadline to file income tax returns has been extended till October 31. The original deadline to file tax returns was set to expire today (September 30). The decision was taken during the meeting of the Economic Coordination Committee (ECC) chaired by Finance Minister Ishaq Dar. The Federal Board of Revenue (FBR) spokesman informed the committee that 100,000 people had filed their income tax returns online.Speaking to the media after the meeting, Finance Minister Dar said after holding consultations with Prime Minister Nawaz Sharif the price of petroleum products would remain unchanged for October.   










",9/30/2015,deadline to file income tax extended till october 31,business
